0,Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary
493,EMP0000494,Daniel Maxwell,IT,Data Analyst,2025-07-16,"Reyeshaven, South Africa",1,0,Active,On-site,863471
494,EMP0000495,Robert Leon,Finance,Accountant,2014-12-12,"West Joanburgh, Aruba",4,10,Terminated,On-site,602484
495,EMP0000496,Tina Hicks,Marketing,Marketing Executive,2019-06-17,"Chenfurt, Iceland",2,6,Active,On-site,647504
496,EMP0000497,Margaret Thomas DDS,Operations,Operations Executive,2017-10-23,"Robinsonstad, Cambodia",4,7,Active,Remote,523883
497,EMP0000498,Daniel Nguyen,IT,Software Engineer,2014-08-06,"Owensstad, Uzbekistan",5,11,Resigned,On-site,1750020
498,EMP0000499,Christopher Day,Operations,Logistics Coordinator,2016-10-31,"Pattersonview, Mauritania",5,8,Active,On-site,833455
499,EMP0000500,Bruce Thomas,HR,HR Director,2021-11-12,"South Brianborough, Chad",4,3,Active,On-site,586879
500,EMP0000501,Holly Marquez,IT,DevOps Engineer,2023-10-03,"Robertfort, Bhutan",3,1,Retired,On-site,424147
501,EMP0000502,Joshua Morrison,Operations,Operations Executive,2021-09-30,"West Adrian, New Caledonia",5,3,Active,On-site,982474
502,EMP0000503,Brandon Kim,Finance,Accountant,2019-01-31,"Fergusonport, Brunei Darussalam",3,6,Retired,On-site,496581
503,EMP0000504,Connor Gibson,IT,DevOps Engineer,2018-02-02,"West Connorstad, Ecuador",5,7,Retired,Remote,901900
504,EMP0000505,David Scott,Finance,Finance Manager,2023-07-06,"West Kristinaville, San Marino",1,2,Active,Remote,1696403
505,EMP0000506,Lisa Gomez,Finance,Accountant,2023-06-09,"North Patrick, Guatemala",3,2,Resigned,On-site,887269
506,EMP0000507,Stephanie Harris,Sales,Account Manager,2015-08-22,"East Aliciaton, Ukraine",4,9,Active,Remote,623895
507,EMP0000508,Courtney Foster,Operations,Logistics Coordinator,2024-03-16,"West Christopherville, Benin",4,1,Active,On-site,875020
508,EMP0000509,Julia Brown,Sales,Account Manager,2018-12-20,"New Betty, Guatemala",2,6,Active,Remote,994472
509,EMP0000510,Nicholas Houston,HR,HR Executive,2015-10-01,"East Kaylaborough, Tokelau",1,9,Terminated,Remote,508210
510,EMP0000511,Shelley Harris,IT,Software Engineer,2021-05-09,"Bradleystad, French Polynesia",1,4,Active,Remote,608157
511,EMP0000512,Nathan Cole,HR,Talent Acquisition Specialist,2020-05-05,"Luisborough, Namibia",5,5,Active,On-site,787168
512,EMP0000513,Cynthia Wolfe,Sales,Sales Executive,2020-02-01,"Jessicastad, French Guiana",5,5,Active,Remote,578862
513,EMP0000514,Joshua Washington,IT,Data Analyst,2012-04-03,"West Amy, Bermuda",4,13,Active,On-site,888221
514,EMP0000515,Jonathan Jones,Operations,Logistics Coordinator,2022-10-01,"Port Jasonton, Nicaragua",3,2,Active,On-site,773200
515,EMP0000516,Michael Robbins,Marketing,Content Strategist,2020-04-09,"Lake Tiffany, Tonga",3,5,Resigned,On-site,853751
516,EMP0000517,Michael Massey,Marketing,Marketing Executive,2022-12-04,"South Charlestown, Turks and Caicos Islands",4,2,Active,Remote,987378
517,EMP0000518,Shawn Young,IT,IT Manager,2020-11-27,"South Melissafurt, Greece",5,4,Active,On-site,2410193
518,EMP0000519,Jason Pugh,HR,Talent Acquisition Specialist,2011-05-11,"Victorfort, Tuvalu",2,14,Active,Remote,616967
519,EMP0000520,Jeffrey Lawrence,IT,Software Engineer,2019-12-14,"Christopherborough, Greenland",1,5,Retired,On-site,836932
520,EMP0000521,Tracy Williams,Sales,Sales Executive,2020-12-10,"West Daniel, Kazakhstan",2,4,Retired,Remote,777149
521,EMP0000522,Stephanie Olson,R&D,Research Scientist,2016-11-27,"Shieldsport, Nauru",4,8,Retired,On-site,584417
522,EMP0000523,Mary Wright DDS,Marketing,Marketing Executive,2016-05-10,"Singhland, Isle of Man",4,9,Resigned,On-site,532983
523,EMP0000524,James Hicks,Marketing,Marketing Executive,2022-12-06,"Lake Jodiport, Saudi Arabia",4,2,Resigned,Remote,807589
524,EMP0000525,Andre Perry,Sales,Sales Executive,2021-10-22,"New Donnaland, Wallis and Futuna",2,3,Retired,On-site,888307
525,EMP0000526,Derrick Obrien,Marketing,Marketing Executive,2020-11-03,"Waltersbury, Palau",2,4,Retired,On-site,410118
526,EMP0000527,Terry Roach,Marketing,Marketing Executive,2018-02-23,"Stephanieview, Tunisia",3,7,Resigned,On-site,1105180
527,EMP0000528,Emily Rice,R&D,Research Scientist,2019-02-12,"Michaelfurt, British Indian Ocean Territory (Chagos Archipelago)",1,6,Active,On-site,942420
528,EMP0000529,Shannon Murphy,IT,Software Engineer,2022-06-14,"West Paul, Belize",2,3,Active,On-site,1583612
529,EMP0000530,John Blake,R&D,Research Scientist,2022-05-28,"Lake Thomas, Sudan",1,3,Active,On-site,926869
530,EMP0000531,Sarah Rowe,Marketing,Marketing Executive,2025-02-21,"Perezside, Colombia",1,0,Resigned,Remote,500861
531,EMP0000532,Mr. David Huber,Operations,Operations Executive,2016-02-24,"Nicholaston, United States of America",1,9,Active,On-site,965272
532,EMP0000533,Audrey Wilcox,IT,Software Engineer,2016-03-12,"Travisbury, Austria",2,9,Active,On-site,713292
533,EMP0000534,Max Rodriguez,Finance,Finance Manager,2018-11-05,"Port Gwendolynbury, United States Minor Outlying Islands",3,6,Terminated,On-site,2358060
534,EMP0000535,William Price,Sales,Sales Executive,2012-03-03,"Port Charlesville, Bahrain",4,13,Active,On-site,551108
535,EMP0000536,Sarah Barron,Finance,Accountant,2015-10-01,"New Tim, Korea",3,9,Active,On-site,746195
536,EMP0000537,Susan Brown,Operations,Operations Executive,2017-09-19,"East Andrewshire, Zimbabwe",5,7,Active,On-site,901941
537,EMP0000538,Maria Gilmore,Sales,Sales Executive,2023-05-23,"West James, Brunei Darussalam",1,2,Active,On-site,529645
538,EMP0000539,Ashley Martin,Marketing,Marketing Executive,2015-10-05,"North Kristenshire, Kyrgyz Republic",3,9,Resigned,Remote,420586
539,EMP0000540,Travis Scott,IT,IT Manager,2017-01-21,"North Crystal, San Marino",5,8,Active,On-site,2314827
540,EMP0000541,Thomas Miller,Operations,Operations Executive,2015-09-25,"Debbiemouth, Guam",5,9,Active,On-site,638393
541,EMP0000542,Katherine Barajas DDS,HR,HR Executive,2022-05-07,"Maxwellview, Saint Martin",4,3,Active,Remote,799258
542,EMP0000543,Patrick Thomas,Finance,Accountant,2020-08-02,"New Nathan, Bhutan",1,5,Active,Remote,690080
543,EMP0000544,Michelle Chapman,IT,Data Analyst,2021-11-28,"Lake Josephmouth, Uruguay",5,3,Active,On-site,1082561
544,EMP0000545,Dorothy Keith,Operations,Operations Executive,2019-02-07,"Browntown, Cuba",3,6,Resigned,Remote,483134
545,EMP0000546,Crystal Hubbard,IT,Data Analyst,2015-08-19,"Anthonyfort, Pitcairn Islands",2,9,Active,On-site,729960
546,EMP0000547,Caitlyn Snyder,IT,Software Engineer,2024-11-22,"North Kristy, Lithuania",4,0,Resigned,On-site,965761
547,EMP0000548,Christie Garcia,Operations,Operations Executive,2020-11-05,"Michaelburgh, Turkmenistan",1,4,Active,Remote,511584
548,EMP0000549,Brian Benton,Operations,Operations Executive,2024-04-22,"West Gerald, Armenia",3,1,Resigned,On-site,959493
549,EMP0000550,Kellie Owens,Finance,Accountant,2014-07-29,"Bergerhaven, Tuvalu",5,11,Active,On-site,759211
550,EMP0000551,Debra Hill,IT,Software Engineer,2025-08-11,"Port Margaretstad, Svalbard & Jan Mayen Islands",1,0,Active,On-site,1246926
551,EMP0000552,Alicia Allen,R&D,Research Scientist,2020-01-16,"Stephanieview, Fiji",4,5,Active,On-site,520795
552,EMP0000553,Travis Ortiz,IT,DevOps Engineer,2017-04-02,"Lindseymouth, Niue",3,8,Resigned,Remote,813040
553,EMP0000554,Jessica Jones,R&D,Lab Technician,2020-12-18,"Johnmouth, Madagascar",5,4,Retired,On-site,426777
554,EMP0000555,Dustin Martinez,IT,Data Analyst,2013-07-30,"East Kevinbury, Korea",2,12,Active,Remote,468628
555,EMP0000556,Gina Rodriguez,IT,Software Engineer,2016-07-30,"Mirandamouth, United Kingdom",3,9,Active,Remote,1223707
556,EMP0000557,David Smith,Finance,Financial Analyst,2025-06-02,"North Alisha, Macao",5,0,Active,On-site,655049
557,EMP0000558,Laurie Smith,Finance,Accountant,2023-01-19,"Smithmouth, France",5,2,Resigned,Remote,541896
558,EMP0000559,Lance Long,HR,HR Executive,2020-12-23,"Turnerborough, Gabon",1,4,Active,Remote,446969
559,EMP0000560,Mary Ramirez,Sales,Sales Executive,2022-08-07,"North Mathew, Dominica",1,3,Active,Remote,424987
560,EMP0000561,Jessica George,HR,HR Executive,2017-06-26,"Wellsbury, Guatemala",5,8,Active,On-site,301957
561,EMP0000562,Angel Boyd,IT,Data Analyst,2025-01-12,"Douglasstad, Turkey",4,0,Resigned,Remote,1111837
562,EMP0000563,Shaun Riddle,IT,Software Engineer,2010-09-03,"Huffmanhaven, Senegal",2,14,Active,Remote,1140465
563,EMP0000564,Kristin Taylor,IT,Data Analyst,2021-02-20,"Solomonborough, Mauritania",1,4,Active,On-site,913646
564,EMP0000565,David Richardson,Operations,Operations Executive,2020-07-01,"Benjaminton, Kyrgyz Republic",5,5,Resigned,On-site,1058264
565,EMP0000566,Christopher Lowe,Operations,Operations Executive,2023-09-14,"West Rebeccamouth, Madagascar",5,1,Active,Remote,937036
566,EMP0000567,Mr. James Rojas MD,Sales,Business Development Manager,2016-10-21,"Smithborough, India",2,8,Active,On-site,1010763
567,EMP0000568,Joe Elliott,Sales,Sales Executive,2016-06-21,"Lake Brandon, Guyana",2,9,Active,On-site,844211
568,EMP0000569,Lori Cuevas,IT,Data Analyst,2022-02-22,"Claytonview, Ukraine",5,3,Active,On-site,633204
569,EMP0000570,Tamara Morales,Sales,Business Development Manager,2011-11-13,"Kimberlychester, Azerbaijan",3,13,Terminated,Remote,1679535
570,EMP0000571,Daniel Rodriguez Jr.,IT,Data Analyst,2016-10-03,"New Tracy, Ethiopia",4,8,Active,On-site,443899
571,EMP0000572,Laura Garcia,Sales,Business Development Manager,2021-06-09,"Whiteport, Serbia",3,4,Active,On-site,1326925
572,EMP0000573,Kevin Munoz,IT,IT Manager,2018-07-17,"Harperport, Korea",5,7,Resigned,Remote,1290227
573,EMP0000574,Brian Santiago,Sales,Sales Executive,2023-05-23,"Davistown, Somalia",1,2,Active,On-site,400797
574,EMP0000575,Alex Bailey,HR,Talent Acquisition Specialist,2016-04-02,"Crystalstad, Eritrea",1,9,Active,Remote,1106573
575,EMP0000576,Johnny Sanchez,Sales,Sales Executive,2023-06-11,"Anthonyton, Bahamas",1,2,Active,On-site,551617
576,EMP0000577,Heidi Williams,IT,DevOps Engineer,2022-09-09,"Lake Alicia, Azerbaijan",4,2,Active,On-site,1019194
577,EMP0000578,Dr. Christopher Lewis,Operations,Logistics Coordinator,2021-05-06,"Johnchester, British Indian Ocean Territory (Chagos Archipelago)",5,4,Resigned,On-site,541008
578,EMP0000579,Janet Barnes,Sales,Sales Executive,2022-08-06,"North Tylerville, United Kingdom",3,3,Active,Remote,750142
579,EMP0000580,Teresa Munoz,Sales,Sales Executive,2020-09-21,"East Samantha, United Arab Emirates",2,4,Active,On-site,596930
580,EMP0000581,Sandra White,Finance,Accountant,2017-03-20,"Port Shannonview, Uzbekistan",1,8,Active,Remote,738310
581,EMP0000582,Mr. Ryan Rivera,IT,CTO,2011-10-12,"Jenniferside, Tonga",4,13,Active,On-site,407967
582,EMP0000583,Carl Smith,Finance,Financial Analyst,2020-04-01,"Port Lawrence, United Arab Emirates",5,5,Active,On-site,1077551
583,EMP0000584,Matthew Evans,HR,HR Executive,2013-01-14,"South Calebberg, Luxembourg",3,12,Resigned,On-site,703259
584,EMP0000585,Shelly Hardin,IT,Data Analyst,2024-05-12,"Garciashire, Togo",4,1,Active,Remote,743869
585,EMP0000586,Alejandro Butler,IT,Data Analyst,2017-10-21,"Jonesfort, Turks and Caicos Islands",5,7,Active,Remote,989319
586,EMP0000587,Mrs. Andrea Morales,Marketing,SEO Specialist,2020-10-23,"Lake Matthewside, Grenada",3,4,Resigned,On-site,822740
587,EMP0000588,Jason Torres,Operations,Operations Executive,2015-02-07,"Steinport, Togo",2,10,Active,On-site,768333
588,EMP0000589,Dawn Gonzalez,Sales,Account Manager,2020-10-13,"Danielburgh, Equatorial Guinea",2,4,Resigned,Remote,772785
589,EMP0000590,Nancy Mathews,Operations,Operations Executive,2023-05-11,"Michaelstad, Myanmar",1,2,Resigned,Remote,850613
590,EMP0000591,Ashley Duncan,Sales,Business Development Manager,2025-02-15,"Whiteside, Uruguay",4,0,Terminated,On-site,791284
591,EMP0000592,Antonio Cox,IT,Software Engineer,2023-01-26,"Longbury, Zambia",3,2,Active,On-site,1247202
592,EMP0000593,Breanna Roberts,Sales,Sales Executive,2022-07-06,"South Lisaland, Bahrain",3,3,Active,On-site,893909
593,EMP0000594,Bruce Duncan,Finance,Financial Analyst,2017-06-23,"West Cindy, Puerto Rico",2,8,Active,On-site,1342380
594,EMP0000595,Robert Cochran,Sales,Business Development Manager,2018-12-19,"Annettetown, Guernsey",5,6,Active,Remote,726529
595,EMP0000596,Mark Warren,IT,Software Engineer,2019-12-29,"Hubbardmouth, Iraq",2,5,Active,Remote,704754
596,EMP0000597,Gerald Dean,Sales,Sales Executive,2020-11-13,"Gatesmouth, Turks and Caicos Islands",2,4,Active,On-site,510507
597,EMP0000598,Michael Hurley,Sales,Sales Executive,2020-09-15,"Frazierstad, Vietnam",2,4,Resigned,Remote,614502
598,EMP0000599,Nathan Scott,Operations,Operations Director,2020-09-02,"Scottside, Guinea-Bissau",5,4,Resigned,Remote,719138
599,EMP0000600,Beth Holland,Sales,Sales Executive,2019-11-01,"Perezton, New Caledonia",3,5,Active,Remote,460578
600,EMP0000601,Kimberly Clayton,Operations,Operations Director,2024-10-16,"Hillshire, Philippines",5,0,Resigned,On-site,1147692
601,EMP0000602,Melinda Howell,Operations,Supply Chain Manager,2015-08-17,"East Edwardtown, Australia",3,10,Active,On-site,592649
602,EMP0000603,Kimberly Moore,IT,IT Manager,2024-05-08,"Herreramouth, North Macedonia",1,1,Terminated,On-site,1232473
603,EMP0000604,David Martin,IT,Software Engineer,2023-04-22,"Thomasstad, Tonga",4,2,Active,On-site,1221324
604,EMP0000605,Lisa Cannon,IT,Data Analyst,2022-06-07,"South Charles, New Caledonia",4,3,Resigned,On-site,1093724
605,EMP0000606,Jessica Hamilton,R&D,Research Scientist,2016-09-07,"Burnetttown, New Zealand",1,8,Active,On-site,988288
606,EMP0000607,Emily Davis,Finance,Accountant,2011-08-14,"West Sarahhaven, Cook Islands",5,14,Active,On-site,867689
607,EMP0000608,Erin Walters,IT,Software Engineer,2019-01-14,"Prestonberg, Somalia",2,6,Resigned,On-site,1143615
608,EMP0000609,Sarah Sherman,IT,Data Analyst,2020-09-20,"Arroyostad, Algeria",5,4,Resigned,Remote,428911
609,EMP0000610,Cheryl Allen,IT,Data Analyst,2021-02-13,"West Bobby, Martinique",4,4,Active,On-site,761600
610,EMP0000611,Austin Johnson,IT,DevOps Engineer,2024-05-21,"North Ronald, Anguilla",1,1,Resigned,On-site,982858
611,EMP0000612,Matthew Rogers,HR,HR Manager,2021-01-30,"South Daniel, Palestinian Territory",2,4,Active,Remote,1475965
612,EMP0000613,Cynthia Farrell,Finance,Accountant,2012-07-06,"South Brendashire, Chad",4,13,Resigned,On-site,761522
613,EMP0000614,George Rodriguez,Sales,Account Manager,2015-10-29,"South Jeremiahland, Iran",1,9,Active,On-site,909171
614,EMP0000615,Kimberly Pittman,IT,IT Manager,2016-12-04,"West Richardview, Togo",1,8,Resigned,On-site,1995934
615,EMP0000616,Erica Bridges,R&D,Lab Technician,2020-06-02,"South Crystalland, Kyrgyz Republic",1,5,Active,Remote,822874
616,EMP0000617,Stacey Ball,Operations,Supply Chain Manager,2016-10-04,"North Matthew, Greece",3,8,Resigned,On-site,1058292
617,EMP0000618,Wayne May,Finance,Accountant,2019-03-15,"Williamburgh, Slovenia",1,6,Active,On-site,884243
618,EMP0000619,George May,Finance,Finance Manager,2016-12-28,"Kaylachester, Italy",4,8,Active,On-site,1641763
619,EMP0000620,Deborah Watson,Marketing,Marketing Executive,2020-02-18,"South Kelly, Germany",3,5,Active,On-site,435165
620,EMP0000621,Jasmine Anderson,Finance,Accountant,2011-02-08,"South Jeffery, Myanmar",2,14,Active,On-site,485207
621,EMP0000622,Amber Johnson,IT,Software Engineer,2019-09-14,"Port Timothyfort, Gambia",1,5,Active,On-site,909727
622,EMP0000623,Theodore Jacobs,HR,HR Manager,2020-09-16,"South Paulfort, Denmark",3,4,Active,On-site,1061889
623,EMP0000624,Hannah Ross,R&D,Research Scientist,2024-07-31,"Garnerborough, Niger",4,1,Active,Remote,1087545
624,EMP0000625,Jennifer Norris,Finance,Accountant,2021-03-02,"Kevinside, Turkmenistan",2,4,Active,Remote,626282
625,EMP0000626,Derek Moore,Sales,Account Manager,2023-05-26,"Jacquelineville, Nauru",4,2,Terminated,On-site,844620
626,EMP0000627,Melissa Villanueva,IT,Data Analyst,2024-01-22,"Olivermouth, Hong Kong",3,1,Active,On-site,893554
627,EMP0000628,Juan Moore,IT,Software Engineer,2019-09-09,"Shannonside, Ethiopia",4,5,Terminated,On-site,1773765
628,EMP0000629,Nathaniel Smith,IT,Software Engineer,2023-11-21,"New Heatherborough, Iraq",2,1,Active,Remote,1609136
629,EMP0000630,Jeremy Henderson,Sales,Sales Executive,2016-02-27,"Jaytown, Romania",4,9,Active,On-site,821750
630,EMP0000631,Tommy Hood,IT,Software Engineer,2019-05-09,"East Anthonyview, Peru",3,6,Active,On-site,826957
631,EMP0000632,Patricia Charles,IT,Data Analyst,2017-06-21,"New Robert, Nepal",4,8,Active,Remote,896123
632,EMP0000633,Jason Gilbert,Marketing,Marketing Executive,2020-12-28,"West Randallmouth, Reunion",2,4,Active,Remote,407465
633,EMP0000634,Valerie Smith,IT,Software Engineer,2017-01-30,"North Robert, Nicaragua",5,8,Active,Remote,943414
634,EMP0000635,Paige Hernandez,Finance,Accountant,2021-03-03,"Melissachester, South Africa",1,4,Active,Remote,811877
635,EMP0000636,Jeffrey Smith,Sales,Sales Executive,2021-01-10,"Lambborough, Australia",5,4,Resigned,Remote,457067
636,EMP0000637,Sarah Strong,IT,DevOps Engineer,2021-02-02,"South Brittany, Saint Lucia",3,4,Active,Remote,513742
637,EMP0000638,Tammy Marquez,Sales,Sales Executive,2021-03-12,"Munozport, New Zealand",5,4,Active,On-site,456596
638,EMP0000639,Gregg Villegas,Marketing,Content Strategist,2021-05-07,"South Michaeltown, New Caledonia",3,4,Resigned,On-site,588073
639,EMP0000640,Derrick Richards,Sales,Sales Executive,2011-06-15,"Walterchester, Norfolk Island",4,14,Active,On-site,807858
640,EMP0000641,Rebecca Mcknight,Finance,Financial Analyst,2023-10-23,"West Kristinaport, Malawi",5,1,Active,On-site,1335176
641,EMP0000642,Derek Garcia,IT,CTO,2020-01-26,"North Josephton, American Samoa",5,5,Active,On-site,1144549
642,EMP0000643,Wayne David,R&D,Product Developer,2022-01-15,"East Michellebury, Saint Lucia",4,3,Active,Remote,405228
643,EMP0000644,Claudia Booth,IT,DevOps Engineer,2022-05-10,"Raymondmouth, Azerbaijan",4,3,Resigned,On-site,644220
644,EMP0000645,Mary Morales,Operations,Logistics Coordinator,2021-09-02,"Johnfort, Namibia",1,3,Active,On-site,650484
645,EMP0000646,Tara Ponce,Operations,Supply Chain Manager,2018-08-08,"Margaretville, Botswana",3,7,Active,On-site,553752
646,EMP0000647,Cheryl Glenn,HR,HR Director,2024-11-22,"East Kimberly, Tuvalu",3,0,Resigned,Remote,407237
647,EMP0000648,Kevin Little,Marketing,Marketing Executive,2021-05-20,"West Samuelport, Latvia",1,4,Resigned,On-site,905352
648,EMP0000649,Jean Chan,HR,HR Executive,2019-01-21,"Scottburgh, Korea",3,6,Active,Remote,725661
649,EMP0000650,Stacey Mckay,Sales,Sales Executive,2017-02-12,"Maysborough, New Caledonia",1,8,Active,On-site,610469
650,EMP0000651,Gary Moore,Sales,Sales Executive,2016-03-11,"North Anna, Congo",5,9,Active,On-site,895944
651,EMP0000652,Julia Davis,R&D,Research Scientist,2019-04-02,"Kennedychester, Belize",3,6,Retired,On-site,760575
652,EMP0000653,Robert Terry,Sales,Account Manager,2021-02-06,"Evanstown, Faroe Islands",2,4,Active,Remote,703019
653,EMP0000654,Sean Caldwell,IT,Software Engineer,2016-11-27,"Port Anthony, Holy See (Vatican City State)",5,8,Resigned,On-site,885536
654,EMP0000655,Kristy Hull,R&D,Product Developer,2015-05-03,"West Christopherchester, Italy",3,10,Active,Remote,687174
655,EMP0000656,Andrea Davis,Operations,Operations Executive,2020-06-06,"Lake David, Northern Mariana Islands",3,5,Active,On-site,522618
656,EMP0000657,John Wood,Sales,Account Manager,2022-08-23,"Angelaberg, Ukraine",5,2,Active,On-site,971208
657,EMP0000658,Michelle Bates,Finance,Finance Manager,2022-03-28,"West Brian, Andorra",5,3,Active,On-site,1118052
658,EMP0000659,Lauren Noble,Finance,Finance Manager,2016-05-22,"Ronniechester, Zambia",3,9,Active,Remote,1862956
659,EMP0000660,Jillian Lawson,HR,HR Executive,2016-03-02,"Yangmouth, El Salvador",2,9,Resigned,Remote,473632
660,EMP0000661,Molly Ford,R&D,Research Scientist,2017-09-11,"West George, Belize",5,7,Active,On-site,1182334
661,EMP0000662,Barbara Medina,HR,HR Manager,2020-07-28,"East Alex, Turkey",2,5,Active,Remote,1357330
662,EMP0000663,Gregory Bradley Jr.,IT,Software Engineer,2022-03-16,"Lake Jessicafort, United States Minor Outlying Islands",1,3,Active,On-site,1055056
663,EMP0000664,Kelsey Pearson,Sales,Sales Executive,2019-04-30,"West Kimberly, Timor-Leste",4,6,Resigned,On-site,619010
664,EMP0000665,Larry Blair,R&D,Research Scientist,2012-10-30,"Stephenborough, Jersey",1,12,Active,On-site,1017328
665,EMP0000666,Amanda Williams,Sales,Sales Director,2016-05-29,"West Davidport, Congo",1,9,Active,On-site,643875
666,EMP0000667,Heather Cervantes,HR,Talent Acquisition Specialist,2025-02-18,"Jacksonberg, Cambodia",3,0,Active,On-site,606598
667,EMP0000668,Andrea Murphy,HR,HR Executive,2023-09-11,"Stevenberg, Nepal",2,1,Active,Remote,736813
668,EMP0000669,John Kim,Finance,Financial Analyst,2022-05-19,"Brooksmouth, Aruba",2,3,Resigned,On-site,1423208
669,EMP0000670,Derek Pitts,Operations,Supply Chain Manager,2014-03-16,"East Mark, Greenland",1,11,Active,On-site,1154867
670,EMP0000671,Mark Sparks,IT,Software Engineer,2021-06-25,"Brownport, Netherlands",3,4,Active,On-site,1349244
671,EMP0000672,Kevin Carter,IT,DevOps Engineer,2015-08-14,"Clarkview, Qatar",1,10,Active,On-site,487693
672,EMP0000673,Shane Sullivan,IT,Software Engineer,2025-03-30,"Kimview, Ethiopia",2,0,Active,On-site,1439092
673,EMP0000674,Kaylee Johnson,Finance,Financial Analyst,2019-11-08,"Sophiaborough, Greece",5,5,Active,Remote,1244661
674,EMP0000675,Christopher Hopkins,HR,HR Manager,2019-07-27,"North Daniellestad, Albania",4,6,Active,On-site,1338850
675,EMP0000676,Thomas Rodriguez,Operations,Operations Executive,2023-10-21,"Tanyamouth, Estonia",4,1,Retired,On-site,911713
676,EMP0000677,Renee Gordon,Sales,Sales Executive,2011-02-17,"North Johnfurt, Saint Helena",2,14,Active,Remote,794310
677,EMP0000678,Andrew Smith,Sales,Account Manager,2011-12-02,"North Michele, Belarus",5,13,Active,On-site,408229
678,EMP0000679,Gina Hoffman,IT,Software Engineer,2018-11-25,"South Brookeberg, Comoros",3,6,Resigned,On-site,1336248
679,EMP0000680,Jason Hill,R&D,Product Developer,2020-01-15,"Rileytown, Guadeloupe",1,5,Active,On-site,1095654
680,EMP0000681,Sheryl Roberson,Sales,Business Development Manager,2020-02-08,"East Megan, Reunion",1,5,Active,On-site,1746526
681,EMP0000682,Kevin Palmer,Sales,Business Development Manager,2015-09-05,"Spearston, Vietnam",4,9,Resigned,Remote,1105774
682,EMP0000683,Eric Whitehead,IT,CTO,2025-07-21,"Laurabury, Iran",5,0,Active,Remote,1084339
683,EMP0000684,Christopher Arnold,HR,HR Executive,2024-07-27,"West Virginiachester, Saint Pierre and Miquelon",5,1,Active,On-site,409779
684,EMP0000685,Kara Murray,IT,Data Analyst,2023-12-12,"East James, India",1,1,Active,On-site,921975
685,EMP0000686,Christian Sanford,IT,Software Engineer,2017-04-19,"Port Jeffery, Barbados",2,8,Active,On-site,1741629
686,EMP0000687,Lori Robertson,HR,HR Executive,2019-03-26,"Vargasmouth, Israel",2,6,Active,Remote,781241
687,EMP0000688,William Brown,IT,Data Analyst,2016-11-24,"Ashleyside, United Kingdom",5,8,Active,On-site,925139
688,EMP0000689,Trevor Ross,IT,DevOps Engineer,2017-04-12,"Lake Robertside, Saint Barthelemy",1,8,Active,On-site,645375
689,EMP0000690,Lori Ayala,Sales,Account Manager,2022-03-01,"Port Diane, Christmas Island",4,3,Active,On-site,453658
690,EMP0000691,Elizabeth Serrano,Sales,Sales Executive,2025-06-10,"Taylorton, Holy See (Vatican City State)",1,0,Resigned,On-site,894888
691,EMP0000692,Jeffrey Mendoza,Operations,Logistics Coordinator,2018-10-09,"Lake Andrea, Costa Rica",1,6,Active,On-site,514072
692,EMP0000693,Katie Christensen,HR,HR Executive,2021-02-26,"West Benjamin, Hong Kong",3,4,Active,Remote,345692
693,EMP0000694,Jacob Martinez,IT,Software Engineer,2019-03-20,"Kellistad, Marshall Islands",2,6,Active,Remote,1103016
694,EMP0000695,Paul Villarreal,HR,HR Executive,2022-05-14,"Michaelhaven, Mali",5,3,Active,On-site,605551
695,EMP0000696,Charles Andrews,HR,HR Executive,2014-04-25,"New Thomas, Niger",3,11,Active,Remote,712469
696,EMP0000697,Pamela Fuentes,Marketing,Brand Manager,2019-07-29,"Danielfort, Reunion",2,6,Retired,On-site,1050921
697,EMP0000698,Crystal Mcdaniel,Operations,Operations Executive,2025-07-29,"Rodriguezview, Solomon Islands",1,0,Active,On-site,1106924
698,EMP0000699,Justin Smith,Marketing,Content Strategist,2025-06-15,"East Robert, Cayman Islands",1,0,Active,On-site,550326
699,EMP0000700,Kristen Todd,Sales,Sales Executive,2024-06-06,"South Mitchellville, United States Minor Outlying Islands",5,1,Active,On-site,574028
700,EMP0000701,Maureen Hayes,Sales,Account Manager,2018-10-27,"North Gregoryville, Guatemala",3,6,Active,On-site,859095
701,EMP0000702,Erica Clay,Sales,Account Manager,2022-06-21,"Nicoleville, Aruba",4,3,Resigned,On-site,845291
702,EMP0000703,Edwin Melton,HR,HR Executive,2019-07-10,"Mariaton, Portugal",2,6,Active,Remote,776689
703,EMP0000704,Patrick Pearson,Operations,Operations Executive,2025-05-23,"New Mikaylahaven, Albania",4,0,Active,Remote,660859
704,EMP0000705,Megan Cooley,Finance,Accountant,2019-02-27,"East Ray, Zambia",5,6,Active,On-site,866171
705,EMP0000706,Jacob Murphy,Operations,Operations Executive,2020-02-16,"Kelseyview, Pakistan",4,5,Resigned,On-site,796580
706,EMP0000707,David Anderson,HR,HR Executive,2024-09-01,"East Markburgh, Nauru",5,0,Terminated,Remote,543817
707,EMP0000708,Monica Gates,Marketing,Marketing Executive,2023-03-27,"New Teresa, British Virgin Islands",3,2,Active,On-site,1012734
708,EMP0000709,Jill Perry,Operations,Operations Executive,2016-10-20,"Murphyside, United States of America",1,8,Active,Remote,489629
709,EMP0000710,Bruce Romero,IT,Software Engineer,2022-04-22,"West Matthew, Denmark",5,3,Resigned,Remote,621206
